Al,Co,Cr,Cu,Fe,Hf,Mn,Mo,Nb,Ni,Si,Ta,Ti,V,W,Zr,Phase
4.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
2.083333333,32.63541667,32.63541667,0.0,0.0,0.0,0.0,0.0,0.0,32.64583333,0.0,0.0,0.0,0.0,0.0,0.0,FCC
8.00080008,30.66306631,30.66306631,0.0,0.0,0.0,0.0,0.0,0.0,30.67306731,0.0,0.0,0.0,0.0,0.0,0.0,FCC
12.0,29.33,29.33,0.0,0.0,0.0,0.0,0.0,0.0,29.34,0.0,0.0,0.0,0.0,0.0,0.0,FCC
13.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
14.00140014,28.66286629,28.66286629,0.0,0.0,0.0,0.0,0.0,0.0,28.67286729,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
15.0,28.33,28.33,0.0,0.0,0.0,0.0,0.0,0.0,28.34,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
16.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
17.00170017,27.66276628,27.66276628,0.0,0.0,0.0,0.0,0.0,0.0,27.67276728,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
19.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
22.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC
25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC
30.0,23.33,23.33,0.0,0.0,0.0,0.0,0.0,0.0,23.34,0.0,0.0,0.0,0.0,0.0,0.0,BCC
19.23076923,19.23076923,19.23076923,0.0,19.23076923,0.0,0.0,0.0,0.0,19.23076923,0.0,0.0,0.0,3.846153846,0.0,0.0,BCC
18.18181818,18.18181818,18.18181818,0.0,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,0.0,9.090909091,0.0,0.0,BCC
17.24137931,17.24137931,17.24137931,0.0,17.24137931,0.0,0.0,0.0,0.0,17.24137931,0.0,0.0,0.0,13.79310345,0.0,0.0,BCC
16.66666667,16.66666667,16.66666667,0.0,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,0.0,16.66666667,0.0,0.0,BCC
7.0,19.0,21.0,0.0,22.0,0.0,12.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
0.0,10.0,10.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,10.0,10.0,0.0,35.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,10.0,10.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,10.0,10.0,0.0,45.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,21.27659574,0.0,0.0,21.27659574,0.0,0.0,4.255319149,0.0,42.55319149,0.0,0.0,0.0,10.63829787,0.0,0.0,FCC
0.0,0.0,4.761904762,0.0,0.0,23.80952381,0.0,23.80952381,0.0,0.0,0.0,0.0,23.80952381,0.0,0.0,23.80952381,BCC+Laves phase
0.0,1.690821256,1.690821256,0.0,0.0,24.15458937,0.0,24.15458937,0.0,0.0,0.0,0.0,24.15458937,0.0,0.0,24.15458937,BCC+Laves phase
0.0,0.0,0.0,0.0,0.0,11.11111111,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444,22.22222222,0.0,22.22222222,BCC
16.52892562,16.52892562,16.52892562,0.0,16.52892562,0.0,0.0,0.826446281,0.0,33.05785124,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
0.0,23.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,27.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,BCC
0.0,0.0,29.76190476,1.785714286,29.76190476,0.0,8.928571429,0.0,0.0,0.0,0.0,0.0,0.0,29.76190476,0.0,0.0,FCC+BCC
0.0,0.0,27.77777778,2.777777778,27.77777778,0.0,13.88888889,0.0,0.0,0.0,0.0,0.0,0.0,27.77777778,0.0,0.0,FCC+BCC
0.0,0.0,26.04166667,3.645833333,26.04166667,0.0,18.22916667,0.0,0.0,0.0,0.0,0.0,0.0,26.04166667,0.0,0.0,FCC+BCC
0.0,0.0,23.80952381,4.761904762,23.80952381,0.0,23.80952381,0.0,0.0,0.0,0.0,0.0,0.0,23.80952381,0.0,0.0,FCC+BCC
8.0,17.0,17.0,8.0,17.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,23.52941176,23.52941176,0.0,23.52941176,0.0,0.0,0.0,0.0,23.52941176,0.0,0.0,0.0,5.882352941,0.0,0.0,FCC
0.0,22.22222222,22.22222222,0.0,22.22222222,0.0,0.0,0.0,0.0,22.22222222,0.0,0.0,0.0,11.11111111,0.0,0.0,FCC
16.39344262,16.39344262,16.39344262,0.0,16.39344262,0.0,0.0,0.0,0.0,34.42622951,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
9.090909091,18.18181818,18.18181818,0.0,18.18181818,0.0,18.18181818,0.0,0.0,18.18181818,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
0.0,34.0,20.0,0.0,6.0,0.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,10.0,15.0,0.0,35.0,0.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,0.0,FCC
71.42857143,9.523809524,9.523809524,0.0,0.0,0.0,0.0,0.0,0.0,9.523809524,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
3.000180011,31.33187991,31.33187991,0.0,0.0,0.0,0.0,0.0,0.0,31.33588015,0.0,0.0,3.000180011,0.0,0.0,0.0,FCC
13.0,0.0,0.0,0.0,36.0,0.0,33.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
12.74509804,0.0,0.0,0.0,35.29411765,0.0,32.35294118,0.0,0.0,17.64705882,0.0,0.0,1.960784314,0.0,0.0,0.0,FCC+B2
11.0,0.0,0.0,0.0,34.0,0.0,39.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
12.0,0.0,0.0,0.0,33.0,0.0,38.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
13.0,0.0,0.0,0.0,31.0,0.0,38.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
13.0,0.0,0.0,0.0,36.0,0.0,33.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
14.0,0.0,0.0,0.0,29.0,0.0,38.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
14.0,0.0,0.0,0.0,33.0,0.0,34.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,FCC
